bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,0
-176.5,-175.5,-176.0,0
-175.5,-174.5,-175.0,0
-174.5,-173.5,-174.0,0
-173.5,-172.5,-173.0,0
-172.5,-171.5,-172.0,0
-171.5,-170.5,-171.0,0
-170.5,-169.5,-170.0,0
-169.5,-168.5,-169.0,0
-168.5,-167.5,-168.0,0
-167.5,-166.5,-167.0,0
-166.5,-165.5,-166.0,0
-165.5,-164.5,-165.0,0
-164.5,-163.5,-164.0,0
-163.5,-162.5,-163.0,0
-162.5,-161.5,-162.0,0
-161.5,-160.5,-161.0,0
-160.5,-159.5,-160.0,0
-159.5,-158.5,-159.0,0
-158.5,-157.5,-158.0,0
-157.5,-156.5,-157.0,0
-156.5,-155.5,-156.0,0
-155.5,-154.5,-155.0,0
-154.5,-153.5,-154.0,0
-153.5,-152.5,-153.0,0
-152.5,-151.5,-152.0,0
-151.5,-150.5,-151.0,0
-150.5,-149.5,-150.0,0
-149.5,-148.5,-149.0,0
-148.5,-147.5,-148.0,0
-147.5,-146.5,-147.0,0
-146.5,-145.5,-146.0,0
-145.5,-144.5,-145.0,0
-144.5,-143.5,-144.0,0
-143.5,-142.5,-143.0,0
-142.5,-141.5,-142.0,0
-141.5,-140.5,-141.0,0
-140.5,-139.5,-140.0,0
-139.5,-138.5,-139.0,0
-138.5,-137.5,-138.0,0
-137.5,-136.5,-137.0,0
-136.5,-135.5,-136.0,0
-135.5,-134.5,-135.0,0
-134.5,-133.5,-134.0,0
-133.5,-132.5,-133.0,0
-132.5,-131.5,-132.0,0
-131.5,-130.5,-131.0,0
-130.5,-129.5,-130.0,0
-129.5,-128.5,-129.0,0
-128.5,-127.5,-128.0,0
-127.5,-126.5,-127.0,0
-126.5,-125.5,-126.0,0
-125.5,-124.5,-125.0,0
-124.5,-123.5,-124.0,0
-123.5,-122.5,-123.0,0
-122.5,-121.5,-122.0,0
-121.5,-120.5,-121.0,0
-120.5,-119.5,-120.0,0
-119.5,-118.5,-119.0,0
-118.5,-117.5,-118.0,0
-117.5,-116.5,-117.0,0
-116.5,-115.5,-116.0,0
-115.5,-114.5,-115.0,0
-114.5,-113.5,-114.0,0
-113.5,-112.5,-113.0,0
-112.5,-111.5,-112.0,0
-111.5,-110.5,-111.0,0
-110.5,-109.5,-110.0,0
-109.5,-108.5,-109.0,0
-108.5,-107.5,-108.0,0
-107.5,-106.5,-107.0,0
-106.5,-105.5,-106.0,0
-105.5,-104.5,-105.0,0
-104.5,-103.5,-104.0,0
-103.5,-102.5,-103.0,0
-102.5,-101.5,-102.0,0
-101.5,-100.5,-101.0,0
-100.5,-99.5,-100.0,0
-99.5,-98.5,-99.0,0
-98.5,-97.5,-98.0,0
-97.5,-96.5,-97.0,0
-96.5,-95.5,-96.0,0
-95.5,-94.5,-95.0,0
-94.5,-93.5,-94.0,0
-93.5,-92.5,-93.0,0
-92.5,-91.5,-92.0,0
-91.5,-90.5,-91.0,0
-90.5,-89.5,-90.0,0
-89.5,-88.5,-89.0,0
-88.5,-87.5,-88.0,0
-87.5,-86.5,-87.0,0
-86.5,-85.5,-86.0,0
-85.5,-84.5,-85.0,0
-84.5,-83.5,-84.0,0
-83.5,-82.5,-83.0,0
-82.5,-81.5,-82.0,0
-81.5,-80.5,-81.0,0
-80.5,-79.5,-80.0,0
-79.5,-78.5,-79.0,0
-78.5,-77.5,-78.0,0
-77.5,-76.5,-77.0,0
-76.5,-75.5,-76.0,0
-75.5,-74.5,-75.0,0
-74.5,-73.5,-74.0,0
-73.5,-72.5,-73.0,0
-72.5,-71.5,-72.0,0
-71.5,-70.5,-71.0,0
-70.5,-69.5,-70.0,0
-69.5,-68.5,-69.0,0
